mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
666200,J. Luzardo,SKD,P,1,0,0,0,0,0,0,0.0,12,0,175,70,149.01,4.23,197,1.32,,Philadelphia Phillies,Jesús Luzardo,P,L,L
625643,R. Lopez,,P,1,0,0,0,0,0,0,0.0,0,0,1,3,5.0,5.4,11,2.2,,Atlanta Braves,Reynaldo López,P,R,R
605280,C. Holmes,TSH,P,1,0,0,0,0,0,0,0.0,11,0,111,57,142.34,3.6,187,1.31,,New York Mets,Clay Holmes,P,R,R
640462,A.J. Puk,DLC,P,1,0,0,0,0,0,0,0.0,0,4,12,3,8.0,3.38,10,1.25,,Arizona Diamondbacks,A.J. Puk,P,L,L
666808,C. Doval,,P,1,0,0,0,0,0,0,0.0,4,16,63,21,57.66,3.28,73,1.27,,New York Yankees,Camilo Doval,P,R,R
670280,D. Bednar,SKD,P,1,0,0,0,0,0,0,0.0,5,20,69,12,49.67,2.17,51,1.03,,New York Yankees,David Bednar,P,L,R
656550,G. Holmes,DVD,P,1,0,0,0,0,0,0,0.0,4,0,123,51,115.0,3.99,154,1.34,,Atlanta Braves,Grant Holmes,P,L,R
666126,N. Cortes,,P,1,5,0,4,0,17,55,0.309,0,0,0,0,0.0,0.0,0,0.0,,Athletics,Carlos Cortes,LF,L,S
660761,Ro. Suarez,DDG,P,1,0,0,0,0,0,0,0.0,1,0,5,2,7.33,2.46,10,1.36,,Navegantes del Magallanes,José Suarez,P,L,L
690986,K. Harrison,RGS,P,1,0,0,0,0,0,0,0.0,1,0,25,12,23.67,4.56,30,1.27,,Boston Red Sox,Kyle Harrison,P,R,L
679885,J. Martinez,,P,1,0,0,0,0,0,0,0.0,1,5,22,7,15.34,4.11,19,1.24,,Arizona Diamondbacks,Justin Martinez,P,R,R
656945,T. Scott,DMK,P,1,0,0,0,0,0,0,0.0,1,19,49,21,46.67,4.05,54,1.16,,Los Angeles Dodgers,Tanner Scott,P,R,L
664854,R. Helsley,DDG,P,1,0,0,0,0,0,0,0.0,3,17,46,21,39.67,4.76,62,1.56,,Baltimore Orioles,Ryan Helsley,P,R,R
676534,C. Faucher,,P,1,0,0,0,0,0,0,0.0,4,13,50,19,52.33,3.27,66,1.26,,Miami Marlins,Calvin Faucher,P,R,R
676254,R. Walker,DVD,P,1,0,0,0,0,0,0,0.0,5,12,53,21,53.34,3.54,59,1.11,,San Francisco Giants,Ryan Walker,P,R,R
663855,T. Kinley,LDY,P,1,0,0,0,0,0,0,0.0,2,2,57,48,67.0,6.45,108,1.61,,Boston Red Sox,Jordan Hicks,P,R,R
628452,R. Iglesias,,P,1,0,0,0,0,0,0,0.0,4,22,59,24,55.67,3.88,58,1.04,,Atlanta Braves,Raisel Iglesias,P,R,R
